Date,Close
2010-01-04,5877.25
2010-01-05,5913.64990234375
2010-01-06,5824.89990234375
2010-01-07,5702.85009765625
2010-01-08,5607.89990234375
2010-01-11,5649.64990234375
2010-01-12,5862.39990234375
2010-01-13,6075.7998046875
2010-01-14,6105.2998046875
2010-01-15,6118.39990234375
2010-01-18,6181.14990234375
2010-01-19,6068.7001953125
2010-01-20,6052.39990234375
2010-01-21,5951.89990234375
2010-01-22,5874.60009765625
2010-01-25,5799.2998046875
2010-01-27,5599.0
2010-01-28,5649.35009765625
2010-01-29,5594.14990234375
2010-02-01,5643.4501953125
2010-02-02,5586.7001953125
2010-02-03,5698.85009765625
2010-02-04,5565.9501953125
2010-02-05,5449.75
2010-02-08,5484.64990234375
2010-02-09,5606.2998046875
2010-02-10,5573.4501953125
2010-02-11,5644.2001953125
2010-02-15,5667.0498046875
2010-02-16,5745.10009765625
2010-02-17,5743.7998046875
2010-02-18,5741.10009765625
2010-02-19,5712.4501953125
2010-02-22,5752.7998046875
2010-02-23,5783.7998046875
2010-02-24,5779.75
2010-02-25,5782.10009765625
2010-02-26,5766.7001953125
2010-03-02,5848.7001953125
2010-03-03,5896.7001953125
2010-03-04,5833.60009765625
2010-03-05,5843.2001953125
2010-03-08,5882.7001953125
2010-03-09,5925.10009765625
2010-03-10,5897.85009765625
2010-03-11,5960.0498046875
2010-03-12,5960.64990234375
2010-03-15,6038.4501953125
2010-03-16,6102.75
2010-03-17,6143.0
2010-03-18,6174.7001953125
2010-03-19,6145.4501953125
2010-03-22,6128.75
2010-03-23,6142.7001953125
2010-03-25,6201.2001953125
2010-03-26,6151.89990234375
2010-03-29,6050.9501953125
2010-03-30,5917.75
2010-03-31,5855.9501953125
2010-04-01,5984.0
2010-04-05,5993.89990234375
2010-04-06,5934.7998046875
2010-04-07,5920.0498046875
2010-04-08,5950.0
2010-04-09,5950.7001953125
2010-04-12,5963.7998046875
2010-04-13,6141.14990234375
2010-04-15,6171.75
2010-04-16,6142.85009765625
2010-04-19,6064.25
2010-04-20,6000.0
2010-04-21,6004.60009765625
2010-04-22,6017.2001953125
2010-04-23,6016.14990234375
2010-04-26,6040.0
2010-04-27,6037.75
2010-04-28,5949.64990234375
2010-04-29,5938.5498046875
2010-04-30,5985.7998046875
2010-05-03,5930.0
2010-05-04,5871.7998046875
2010-05-05,5932.0
2010-05-06,5867.89990234375
2010-05-07,5726.60009765625
2010-05-10,5890.89990234375
2010-05-11,5834.35009765625
2010-05-12,5876.25
2010-05-13,5922.60009765625
2010-05-14,5839.75
2010-05-17,5744.5498046875
2010-05-18,5754.7001953125
2010-05-19,5663.10009765625
2010-05-20,5659.89990234375
2010-05-21,5606.4501953125
2010-05-24,5638.5
2010-05-25,5488.10009765625
2010-05-26,5674.39990234375
2010-05-27,5713.60009765625
2010-05-28,5783.60009765625
2010-05-31,5761.9501953125
2010-06-01,5688.2998046875
2010-06-02,5738.4501953125
2010-06-03,5839.64990234375
2010-06-04,5884.2998046875
2010-06-07,5785.85009765625
2010-06-08,5740.7001953125
2010-06-09,5670.39990234375
2010-06-10,5735.10009765625
2010-06-11,5739.25
2010-06-14,5945.25
2010-06-15,5916.75
2010-06-16,5969.89990234375
2010-06-17,5975.89990234375
2010-06-18,6006.9501953125
2010-06-21,6037.25
2010-06-22,5958.5498046875
2010-06-23,6007.64990234375
2010-06-24,6014.60009765625
2010-06-25,5921.75
2010-06-28,5979.60009765625
2010-06-29,5934.14990234375
2010-06-30,5928.2998046875
2010-07-01,5861.25
2010-07-02,5836.2998046875
2010-07-05,5862.60009765625
2010-07-06,5959.5498046875
2010-07-07,5954.39990234375
2010-07-08,6041.2998046875
2010-07-09,6108.39990234375
2010-07-12,6185.64990234375
2010-07-13,6028.0498046875
2010-07-14,5952.4501953125
2010-07-15,5985.5
2010-07-16,6086.10009765625
2010-07-19,6072.7998046875
2010-07-20,6052.5
2010-07-21,6097.4501953125
2010-07-22,6076.25
2010-07-23,6100.39990234375
2010-07-26,6131.35009765625
2010-07-27,6168.64990234375
2010-07-28,6161.39990234375
2010-07-29,6152.35009765625
2010-07-30,6086.85009765625
2010-08-02,6104.35009765625
2010-08-03,6077.0
2010-08-04,6274.2001953125
2010-08-05,6288.7001953125
2010-08-06,6259.89990234375
2010-08-09,6306.85009765625
2010-08-10,6216.0
2010-08-11,6161.2998046875
2010-08-12,6091.0498046875
2010-08-13,6116.7001953125
2010-08-16,6086.85009765625
2010-08-17,6059.5
2010-08-18,6184.39990234375
2010-08-19,6183.89990234375
2010-08-20,6128.60009765625
2010-08-23,6178.9501953125
2010-08-24,6117.60009765625
2010-08-25,6109.9501953125
2010-08-26,6116.14990234375
2010-08-27,6005.89990234375
2010-08-30,5971.25
2010-08-31,5974.89990234375
2010-09-01,6086.4501953125
2010-09-02,6055.2001953125
2010-09-03,6076.10009765625
2010-09-06,6184.4501953125
2010-09-07,6253.64990234375
2010-09-08,6287.7001953125
2010-09-09,6302.0
2010-09-13,6358.14990234375
2010-09-14,6441.75
2010-09-15,6602.0
2010-09-16,6447.25
2010-09-17,6477.85009765625
2010-09-20,6528.4501953125
2010-09-21,6673.2998046875
2010-09-22,6594.60009765625
2010-09-23,6596.39990234375
2010-09-24,6634.7001953125
2010-09-27,6600.75
2010-09-28,6560.5
2010-09-29,6578.60009765625
2010-09-30,6613.39990234375
2010-10-01,6759.14990234375
2010-10-04,6733.35009765625
2010-10-05,6732.7998046875
2010-10-06,6776.85009765625
2010-10-07,6681.4501953125
2010-10-08,6710.64990234375
2010-10-11,6716.25
2010-10-12,6724.14990234375
2010-10-13,6924.75
2010-10-14,6952.7998046875
2010-10-15,6730.10009765625
2010-10-18,6814.0
2010-10-19,6663.0
2010-10-20,6652.2998046875
2010-10-21,6715.2998046875
2010-10-22,6777.10009765625
2010-10-25,6751.7998046875
2010-10-26,6736.85009765625
2010-10-27,6663.64990234375
2010-10-28,6632.5498046875
2010-10-29,6613.25
2010-11-01,6670.0
2010-11-02,6712.7001953125
2010-11-03,6721.25
2010-11-04,6818.64990234375
2010-11-08,6723.60009765625
2010-11-09,6811.7001953125
2010-11-10,6851.5498046875
2010-11-11,6762.7001953125
2010-11-12,6663.2001953125
2010-11-15,6733.0
2010-11-16,6608.2998046875
2010-11-18,6631.0
2010-11-19,6503.5
2010-11-22,6666.5498046875
2010-11-23,6619.85009765625
2010-11-24,6540.75
2010-11-25,6617.89990234375
2010-11-26,6615.39990234375
2010-11-29,6688.89990234375
2010-11-30,6703.60009765625
2010-12-01,6723.2998046875
2010-12-02,6827.60009765625
2010-12-03,6856.64990234375
2010-12-06,6890.5498046875
2010-12-07,6932.2998046875
2010-12-08,6850.89990234375
2010-12-09,6843.75
2010-12-10,6869.10009765625
2010-12-13,6886.10009765625
2010-12-14,6935.5
2010-12-15,7024.64990234375
2010-12-16,7211.7998046875
2010-12-20,7332.0498046875
2010-12-21,7325.7001953125
2010-12-22,7302.9501953125
2010-12-23,7339.60009765625
2010-12-24,7353.64990234375
2010-12-27,7364.10009765625
2010-12-28,7387.25
2010-12-29,7426.60009765625
2010-12-30,7503.64990234375
2010-12-31,7491.10009765625
2011-01-03,7492.4501953125
2011-01-04,7512.2998046875
2011-01-05,7508.0
2011-01-06,7545.9501953125
2011-01-07,7333.7998046875
2011-01-10,7317.4501953125
2011-01-11,7194.5
2011-01-12,7324.0498046875
2011-01-13,7063.9501953125
2011-01-14,7068.2001953125
2011-01-17,7178.2001953125
2011-01-18,7360.85009765625
2011-01-19,7267.10009765625
2011-01-20,7353.75
2011-01-21,7249.7998046875
2011-01-24,7295.10009765625
2011-01-25,7242.5
2011-01-27,7146.5498046875
2011-01-28,7065.35009765625
